㓦划	bo hua
觉得自己	jue de zi ji
觉悟	jue wu
觉书	jue shu
觉海	jue hai
觉王	jue wang
觉发	jue fa
觉的	jue de
觉着	jue zhe
觉知	jue zhi
觉觉	jiao jiao
觉返迷津	jue fan mi jin
觉道	jue dao
觉醒	jue xing
觉音	jue yin
觌武	di wu
觌面	di mian
观光胜地	guan guang sheng di
观光游憩性资源	guan guang you qi xing zi yuan
观省	guan xing
观行	guan xing
观衅伺隙	guan xin si xi
角冠	jue guan
角口	jiao kou
角妓	jue ji
角子	jiao zi
角宿	jue xiu
角尺	jiao chi
角巾	jiao jin
角巾私第	jiao jin si di
角带	jiao dai
角平分线	jiao ping fen xian
角度	jiao du
角度看	jiao du kan
角招	jue shao
角枕	jue zhen
角柱	jiao zhu
角楼	jiao lou
角球	jiao qiu
角砾岩	jiao li yan
角立	jue li
角粽	jue zong
角肩椿象	jiao jian chun xiang
角脑	jiao nao
角膜	jiao mo
角膜炎	jiao mo yan
角膜移植术	jiao mo yi zhi shu
角落里	jiao luo li
角角	jue jue
角觝	jiao di
角调	jue diao
角贝	jiao bei
角质	jiao zhi
角质层	jiao zhi ceng
角速度	jiao su du
角里	lu li
角钢	jiao gang
角锥	jiao zhui
角门	jiao men
角页岩	jiao ye yan
角顶	jiao ding
角头	jiao tou
角马	jue ma
角鱼	jiao yu
角鸱	jiao chi
角鹰	jue ying
角黍	jue shu
觜鼻	zui bi
解剖	jie pou
解剖学	jie pou xue
解剑拜仇	jie jian bai chou
解差	jie chai
解廌	xie zhi
解弦更张	jie xian geng zhang
解析三角法	jie xi san jiao fa
解池	xie chi
解决不了	jie jue bu liao
解县	xie xian
解聘	jie pin
解调器	jie tiao qi
解开疙瘩	jie kai ge da
觭梦	ji meng
觭轮	ji lun
觭龙类	ji long lei
觰沙	zha sha
觱沸	bi fei
触目恸心	chu mu tong xin
触觉	chu jue
触角	chu jiao
触类而长	chu lei er zhang
觿年	xi nian
言不践行	yan bu jian xing
言不顾行	yan bu gu xing
言之凿凿	yan zhi zao zao
言之凿凿	yan zhi zuo zuo
言出必行	yan chu bi xing
言多伤行	yan duo shang xing
言从计行	yan cong ji xing
言扬行举	yan yang xing ju
言归正传	yan gui zheng zhuan
言清行浊	yan qing xing zhuo
言简意赅	yan jian yi gai
言听行从	yan ting xing cong
言听计行	yan ting ji xing
言行	yan xing
言行一致	yan xing yi zhi
言行相悖	yan xing xiang bei
言行相诡	yan xing xiang gui
言行相顾	yan xing xiang gu
言行举止	yan xing ju zhi
言行若一	yan xing ruo yi
言行计从	yan xing ji cong
言行录	yan xing lu
言言	yan yan
言言	yin yin
言词泠泠	yan ci ling ling
言谈行事	yan tan xing shi
言重	yan zhong
讣告	fu gao
讣闻	fu wen
讣音	fu yin
计功行赏	ji gong xing shang
计日而俟	ji ri er si
计会	ji kuai
计禀	ji bing
计簿	ji bu
计行虑义	ji xing lv yi
讨便宜	tao pian yi
讨价还价	tao jia huan jia
訏訏	xu xu
訏谟	xu mo
讦告	jie gao
讦扬	jie yang
讦发	jie fa
讦直	jie zhi
训练基地	xun lian ji di
讫了	qi liao
讬宿	tuo su
讬管地	tuo guan di
记仇	ji chou
记省	ji xing
讹舛	e chuan
讹谬	e miu
䜣合	xi he
䜣戴	xin dai
䜣然	xin ran
䜣䜣	xin xin
讷口	ne kou
讷涩	ne se
设朝升殿	she chao sheng dian
设身处地	she shen chu di
许地山	xu di shan
许景澄	xu jing cheng
许行	xu xing
许许	hu hu
诊脉	zhen mai
诊脉	zhen mo
诈降	zha xiang
评传	ping zhuan
评度	ping duo
评弹	ping tan
评泊	ping bo
评薄	ping bo
诐行	bi xing
诇伺	xiong si
诎寸伸尺	qu cun shen chi
诎寸信尺	qu cun shen chi
诎指	qu zhi
词调	ci diao
咏叹调	yong tan diao
诣门	yi men
诣阙	yi que
试行	shi xing
试运行	shi yun xing
诗伯	shi bo
诗书礼乐	shi shu li yue
诗谶	shi chen
诗酒朋侪	shi jiu peng chai
诡怪奇谲	gui guai qi jue
诡戾	gui li
诡祕	gui mi
诡谲	gui jue
诡谲多变	gui jue duo bian
诡谲怪诞	gui jue guai dan
诡谲无行	gui jue wu xing
诘问	jie wen
诘屈	jie qu
诘屈聱牙	jie qu ao ya
诘旦	jie dan
诘曲	jie qu
诘禁	jie jin
诘责	jie ze
诘难	jie nan
话里藏鬮	hua li cang jiu
该地区	gai di qu
该死行瘟	gai si xing wen
该着	gai zhao
该行	gai hang
诜诜	shen shen
詻詻	e e
诙啁	hui chao
誂越	tiao yue
诛兇殄逆	zhu xiong tian ni
诶诒	xi yi
诱掖	you yi
诱掖后进	you yi hou jin
诱降	you xiang
语塞	yu se
语笑喧阗	yu xiao xuan tian
语调	yu diao
语重心长	yu zhong xin chang
诬陷	wu xian
误国殄民	wu guo tian min
误打误撞	wu da wu zhuang
误谬	wu miu
说不了	shuo bu liao
说什么也不能	shuo shen me ye bu neng
说来话长	shuo lai hua chang
说参请	shuo can qing
说地谈天	shuo di tan tian
说士	shui shi
说天说地	shuo tian shuo di
说客	shui ke
说得着	shuo de zhao
说明什么	shuo ming shen me
说服	shui fu
说服	shuo fu
说服力	shui fu li
说短论长	shuo duan lun chang
说短道长	shuo duan dao chang
说短长	shuo duan chang
说诗啐话	shuo shi zui hua
说调	shuo tiao
说诨话	shuo hun hua
说长短	shuo chang duan
说长说短	shuo chang shuo duan
说长论短	shuo chang lun duan
说长道短	shuo chang dao duan
谁不	shui bu
谁也不	shui ye bu
谁人	shei ren
谁何	shei he
谁先	shui xian
谁入地狱	shei ru di yu
谁去	shui qu
谁叫	shui jiao
谁叫你	shui jiao ni
谁呀	shui ya
谁呢	shui ne
谁啊	shui a
谁在	shui zai
谁家	shei jia
谁家灶内无烟	shei jia zao nei wu yan
谁承望	shei cheng wang
谁敢	shui gan
谁敢留人到五更	shei gan liu ren dao wu geng
谁是谁	shui shi shui
谁知	shei zhi
谁能无情	shei neng wu qing
谁能无过	shei neng wu guo
谁行	shei hang
谁谁	shei shei
谁谁	shui shui
谁让你	shui rang ni
谁还	shui hai
谁都会	shui dou hui
课长	ke zhang
訚訚	yin yin
调三斡四	tiao san wo si
调三窝四	tiao san wo si
调人	tiao ren
调令	diao ling
调任	diao ren
调休	tiao xiu
调低	tiao di
调侃	tiao kan
调值	diao zhi
调假	diao jia
调停	tiao ting
调停人	tiao ting ren
调价	tiao jia
调光	tiao guang
调入	diao ru
调兵	diao bing
调兵遣将	diao bing qian jiang
调出	diao chu
调刺	tiao ci
调剂	tiao ji
调动	diao dong
调勤	tiao qin
调匀	tiao yun
调包	diao bao
调升	tiao sheng
调卷	diao juan
调合	tiao he
调合漆	tiao he qi
调味	tiao wei
调味乳	tiao wei ru
调味品	tiao wei pin
调味料	tiao wei liao
调和	tiao he
调和鼎鼐	tiao he ding nai
调哄	tiao hong
调唆	tiao suo
调问	diao wen
调喉	diao hou
调喉嗓	diao hou sang
调嗓	diao sang
调嘴调舌	diao zui diao she
调嘴调舌	tiao zui tiao she
调回	diao hui
调坎	diao kan
调墨弄笔	tiao mo nong bi
调好	tiao hao
调子	diao zi
调差	diao chai
调幅	tiao fu
调幅广播	tiao fu guang bo
调度	diao du
调度场	diao du chang
调度室	diao du shi
调弄	tiao nong
调弓号猿	tiao gong hao yuan
调引	tiao yin
调弦	tiao xian
调性	diao xing
调息	tiao xi
调情	tiao qing
调成	tiao cheng
调戏	tiao xi
调控	tiao kong
调换	diao huan
调拨车道	diao bo che dao
调摄	tiao she
调教	tiao jiao
调整	tiao zheng
调料	tiao liao
调书袋	diao shu dai
调服	tiao fu
调查	diao cha
调查取证	diao cha qu zheng
调查员	diao cha yuan
调查问卷	diao cha wen juan
调查报告	diao cha bao gao
调查工作	diao cha gong zuo
调查权	diao cha quan
调查研究	diao cha yan jiu
调查组	diao cha zu
调查结果	diao cha jie guo
调查表	diao cha biao
调查显示	diao cha xian shi
调校	diao xiao
调歪	diao wai
调气	tiao qi
调水	diao shui
调治	tiao zhi
调泛	tiao fan
调派	diao pai
调温	tiao wen
调演	diao yan
调涨	tiao zhang
调焦	tiao jiao
调犯	tiao fan
调班	diao ban
调理	tiao li
调理室	tiao li shi
调用	diao yong
调当	diao dang
调白	tiao bai
调百戏	diao bai xi
调皮	tiao pi
调皮捣蛋	tiao pi dao dan
调皮鬼	tiao pi gui
调眼色	diao yan se
调研	diao yan
调研报告	diao yan bao gao
调研组	diao yan zu
调笑	tiao xiao
调节	tiao jie
调絃品竹	tiao xian pin zhu
调絃弄管	tiao xian nong guan
调丝品竹	tiao si pin zhu
调经	tiao jing
调羹	tiao geng
调职	diao zhi
调至	tiao zhi
调色	tiao se
调色板	tiao se ban
调色盘	tiao se pan
调薪	tiao xin
调虎离山	diao hu li shan
调处	tiao chu
调虚嚣	diao xu xiao
调号	diao hao
调补	diao bu
调制	tiao zhi
调解	tiao jie
调诐	tiao bi
调词架讼	tiao ci jia song
调试	tiao shi
调课	diao ke
调调	diao diao
调调	tiao tiao
调谐	tiao xie
调谐器	tiao xie qi
调谎	diao huang
调谑	tiao xue
调护	tiao hu
调变	tiao bian
调贴	tiao tie
调资	tiao zi
调赛	diao sai
调车场	diao che chang
调转	diao zhuan
调逗	tiao dou
调速	tiao su
调运	diao yun
调达	tiao da
调遣	diao qian
调适	tiao shi
调迁	diao qian
调酒	tiao jiu
调门	diao men
调开	diao kai
调阅	diao yue
调防	diao fang
调降	tiao jiang
调阵	diao zhen
调阵子	diao zhen zi
调集	diao ji
调离	diao li
调露	tiao lu
调音	tiao yin
调头	diao tou
调头寸	diao tou cun
调频	tiao pin
调频广播	tiao pin guang bo
调类	diao lei
调风弄月	tiao feng nong yue
调风月	tiao feng yue
调风变俗	tiao feng bian su
调风贴怪	tiao feng tie guai
调养	tiao yang
调养生息	tiao yang sheng xi
调驻	diao zhu
调高	tiao gao
调鬼	tiao gui
调鼎	tiao ding
谈天说地	tan tian shuo di
谈天论地	tan tian lun di
谈屑	tan xie
请佃	qing dian
请参考	qing can kao
请参阅	qing can yue
请给	qing ji
请自行	qing zi xing
谅阴	liang an
諓諓	jian jian
諔诡	chu gui
諕人	xia ren
諕吓	xia xia
论功行封	lun gong xing feng
论功行赏	lun gong xing shang
论著	lun zhu
论藏	lun zang
论调	lun diao
諠呶	xuan nao
諠嚣	xuan xiao
诨名	hun ming
诨砌	hun qi
诨词小说	hun ci xiao shuo
诨话	hun hua
诨语	hun yu
谏而剖腹	jian er pou fu
諰諰	xi xi
讳恶不悛	hui e bu quan
讽一劝百	feng yi quan bo
诸子百家	zhu zi bo jia
诸宫调	zhu gong diao
谖堂	xuan tang
谋泄事露	mou xie shi lou
诌札	zou zha
謇谔	jian e
謇谔之风	jian e zhi feng
謇谔自负	jian e zi fu
謇謇	jian jian
謈怨	po yuan
谎喳呼	huang cha hu
謋然	huo ran
謏才	xiao cai
謏闻之陋	xiao wen zhi lou
謏闻浅说	xiao wen qian shuo
谧如	mi ru
谧尔	mi er
谧谧	mi mi
谧静	mi jing
谑称	xue cheng
谑而不虐	xue er bu nve
谑亲	xue qin
谑谑	xue xue
谡尔	su er
谡谡	su su
谦洽	qian qia
谦洽	qian xia
谦逊	qian xun
谦逊下士	qian xun xia shi
谢天谢地	xie tian xie di
谢长廷	xie chang ting
謞謞	xue xue
謦欬	qing kai
谪仙	zhe xian
谪守	zhe shou
谪宦	zhe huan
谪居	zhe ju
谪戍	zhe shu
谪贬	zhe bian
谪降	zhe jiang
谬以千里	miu yi qian li
谬妄	miu wang
谬悠之说	miu you zhi shuo
谬爱	miu ai
谬采虚声	miu cai xu sheng
谬斯	miu si
谬奖	miu jiang
谬种	miu zhong
谬种流传	miu zhong liu chuan
谬耄	miu mao
谬见	miu jian
谬言	miu yan
谬误	miu wu
谬误百出	miu wu bai chu
谬论	miu lun
谬识	miu shi
谬讚	miu zan
谬领	miu ling
谨祕	jin mi
谨禀	jin bing
谨言慎行	jin yan shen xing
谩天昧地	man tian mei di
谩天谩地	man tian man di
谩骂叫嚣	man ma jiao xiao
哗嚣	hua xiao
谲怪之谈	jue guai zhi tan
谲而不正	jue er bu zheng
谲诈	jue zha
谲诡	jue gui
谲诳	jue kuang
谲谏	jue jian
谲譬	jue pi
谲辞	jue ci
讥呵	ji he
谯呵	qiao he
谭天说地	tan tian shuo di
警官学校	jing guan xue xiao
警察学校	jing cha xue xiao
警械	jing xie
警觉	jing jue
警角	jing jue
警长	jing zhang
譬似闲	pi si xian
译传	yi zhuan
译著	yi zhu
议长	yi zhang
议长论短	yi chang lun duan
护士长	hu shi zhang
护从	hu cong
护从	hu zong
诪张	zhou zhang
诪张为幻	zhou zhang wei huan
誉塞天下	yu se tian xia
谫薄之材	jian bo zhi cai
变动汇率	bian dong hui lv
变征	bian zhi
变征之声	bian zhi zhi sheng
变征之音	bian zhi zhi yin
变生肘腋	bian sheng zhou ye
变着	bian zhao
变着	bian zhe
变调	bian diao
变长	bian chang
雠校	chou jiao
谗慝	chan te
谗隙	chan xi
谶文	chen wen
谶纬	chen wei
谶记	chen ji
谶语	chen yu
谶语饼	chen yu bing
讘䛟	zhe jia
讚呗	zan bai
谳牍	yan du
谳狱	yan yu
谳谳	yan yan
谷地	gu di
谷都	gu du
谿壑	xi he
谿壑	xi huo
谿壑无厌	xi he wu yan
谿壑无厌	xi huo wu yan
谿子	xi zi
谿谷	xi gu
豁亮	he liang
豁亮	huo liang
豁劲	huo jin
豁地	huo di
豁拳	hua quan
豁然省悟	huo ran xing wu
豆干	dou gan
豆剖	dou pou
豆剖瓜分	dou pou gua fen
豆秸灰	dou jie hui
豆脯	dou fu
豆腐干	dou fu gan
豆角	dou jiao
豆豉	dou chi
豆豉油	dou chi you
豆重榆瞑	dou zhong yu mian
豇豆	jiang dou
岂弟	kai ti
岂弟君子	kai ti jun zi
豉虫	chi chong
丰功懋烈	feng gong mao lie
丰功盛烈	feng gong sheng lie
丰容靓饰	feng rong jing shi
丰年稔岁	feng nian ren sui
丰乐	feng le
丰乐亭	feng le ting
丰殖	feng zhi
丰杀	feng shai
丰熟	feng shu
丰盛	feng sheng
丰稔	feng ren
丰腆	feng tian
丰镐	feng hao
豔歌罗敷行	yan ge luo fu xing
豕交兽畜	shi jiao shou xu
豚拍	tun po
豚栅	tun zha
象传	xiang zhuan
象瑱	xiang tian
象笏	xiang hu
象车	xiang che
象车	xiang ju
豢圉	huan yu
豢养	huan yang
豪忕	hao tai
豪恣	hao zi
豪厘千里	hao li qian li
豫西山地	yu xi shan di
猪仔	zhu zai
猪八戒吃人参果	zhu ba jie chi ren shen guo
猪圈	zhu juan
猪肉干	zhu rou gan
豺狼塞路	chai lang se lu
貉绒	he rong
貌似	mao si
貌合行离	mao he xing li
猫溺	mao niao
貔子	pi zi
貔子窝港	pi zi wo gang
貔虎	pi hu
貔貅	pi xiu
貙虎	chu hu
贝他蛻变	bei ta shui bian
贝伽特症候羣	bei qie te zheng hou qun
贝娄	bei lou
贝锦萋菲	bei jin qi fei
贝类养殖	bei lei yang zhi
贞白	zhen bai
贞白	zhen bo
负乘致寇	fu sheng zhi kou
负固不悛	fu gu bu quan
负增长	fu zeng zhang
负成长	fu cheng zhang
负重	fu zhong
负重涉远	fu zhong she yuan
负重致远	fu zhong zhi yuan
负隅顽抗	fu yu wan kang
财匮力绌	cai kui li chu
财去人安乐	cai qu ren an le
财去身安乐	cai qu shen an le
财多势重	cai duo shi zhong
财多命殆	cai duo ming dai
财政部长	cai zheng bu zhang
财会	cai kuai
财长	cai zhang
贡献率	gong xian lv
贡禹弹冠	gong yu tan guan
贫嘴薄舌	pin zui bo she
贫困地区	pin kun di qu
贫无立锥之地	pin wu li zhui zhi di
贫窭	pin ju
贫而乐道	pin er le dao
贫血	pin xie
贫血	pin xue
贫血病	pin xie bing
贫血病	pin xue bing
货币供给额	huo bi gong ji e
货殖	huo zhi
货赂	huo lu
货赂公行	huo lu gong xing
货贿公行	huo hui gong xing
贩官鬻爵	fan guan yu jue
贪便宜	tan pian yi
贪冒	tan mo
贪冒荣宠	tan mo rong chong
贪多嚼不烂	tan duo jiao bu lan
贪小便宜	tan xiao pian yi
贪戾	tan li
贪荣冒宠	tan rong mo chong
贪生恶死	tan sheng wu si
贯伯	guan bo
贯彻执行	guan che zhi xing
贯手着棼	guan shou zhuo fen
贯穿驰骋	guan chuan chi cheng
贯行	guan xing
责诘	ze jie
责躬省过	ze gong xing guo
贮备	zhu bei
贮存	zhu cun
贮气槽	zhu qi cao
贮水	zhu shui
贮精囊	zhu jing nang
贮藏	zhu cang
贮藏室	zhu cang shi
贮藏性资源	zhu cang xing zi yuan
贮运	zhu yun
赀簿	zi bu
赀藏	zi cang
贰臣传	er chen zhuan
贰车	er che
贰车	er ju
贵地	gui di
贵族学校	gui zu xue xiao
贵重	gui zhong
贵霜王朝	gui shuang wang chao
贬谪	bian zhe
贬黜	bian chu
买什么	mai shen me
买官鬻爵	mai guan yu jue
买乐	mai le
买椟还珠	mai du huan zhu
买着	mai zhao
买金偏撞不着卖金的	mai jin pian zhuang bu zhao mai jin de
贷款利率	dai kuan li lv
费劲	fei jin
费率	fei lv
贴现率	tie xian lv
贲如	bi ru
贲张	ben zhang
贲然	bi ran
贲石	ben shi
贲育	ben yu
贲临	bi lin
贲华	bi hua
贲贲	ben ben
贲门	ben men
赁屋	lin wu
赁房	lin fang
赁金	lin jin
贿货公行	hui huo gong xing
贿赂	hui lu
贿赂公行	hui lu gong xing
贿赂并行	hui lu bing xing
赅博	gai bo
赅括	gai gua
赅括	gai kuo
资产重估	zi chan chong gu
资产重组	zi chan chong zu
资禀	zi bing
贾人	gu ren
贾人渡河	gu ren du he
贾似道	jia si dao
贾侩	gu kuai
贾儒商秀	gu ru shang xiu
贾利	gu li
贾勇	gu yong
贾客	gu ke
贾怨	gu yuan
贾祸	gu huo
贾胡	gu hu
贾舶	gu bo
贾竖	gu shu
贾竖子	gu shu zi
贼仔星	zei zi xing
贼害	ze hai
贼虐	ze nve
赈给	zhen ji
赐予	ci yu
赐予	si yu
赐假	ci jia
赐假	si jia
赐光	ci guang
赐光	si guang
赐卹	ci xu
赐卹	si xu
赐名	ci ming
赐名	si ming
赐告	ci gao
赐告	si gao
赐姓	ci xing
赐姓	si xing
赐宴	ci yan
赐宴	si yan
赐履	ci lv
赐履	si lv
赐帛	ci bo
赐帛	si bo
赐复	ci fu
赐复	si fu
赐教	ci jiao
赐教	si jiao
赐死	ci si
赐死	si si
赐爵	ci jue
赐爵	si jue
赐环	ci huan
赐环	si huan
赐示	ci shi
赐示	si shi
赐福	ci fu
赐福	si fu
赐紫	ci zi
赐紫	si zi
赐给	ci gei
赐酺	ci fu
赐酺	si fu
赐顾	ci gu
赐顾	si gu
赏心乐事	shang xin le shi
赏赐	shang ci
赏赐	shang si
赔偿	pei chang
赔偿医学	pei chang yi xue
赔率	pei lv
贤否不明	xian pi bu ming
贤从	xian cong
贤从	xian zong
卖俏行姦	mai qiao xing jian
卖儿鬻女	mai er yu nv
卖劲	mai jin
卖妖娆	mai yao rao
卖妻鬻子	mai qi yu zi
卖官鬻爵	mai guan yu jue
卖官鬻狱	mai guan yu yu
卖富差贫	mai fu chai pin
卖弄玄虚	mai long xuan xu
卖查梨	mai zha li
卖死劲	mai si jin
卖爵鬻子	mai jue yu zi
卖呆	mai dai
卖痴呆	mai chi dai
卖胳臂	mai ge bei
卖荳腐点了河滩地	mai dou fu dian le he tan di
卖猪仔	mai zhu zai
卖重	mai zhong
卖长舌	mai chang she
贱婢	jian bi
赋禀	fu bing
赋食行水	fu shi xing shui
賨人	cong ren
賨布	cong bu
质地	zhi di
质妻鬻子	zhi qi yu zi
质朴	zhi pu
质的	zhi di
赌色	du shai
赚了	zhuan le
赚到	zhuan dao
赚取	zhuan qu
赚哄	zuan hong
赚外快	zhuan wai kuai
赚大钱	zhuan da qian
赚弄	zuan nong
赚得	zhuan de
赚手	zhuan shou
赚漏	zuan lou
赚词	zhuan ci
赚钱	zhuan qian
赚头	zhuan tou
赚骗	zuan pian
赚点	zhuan dian
赙仪	fu yi
赙赠	fu zeng
赙金	fu jin
赛璐玢	sai lu fen
赠赙	zeng fu
赠遗	zeng wei
赢缩	ying su
赢缩	ying suo
赆行	jin xing
赃污狼借	zang wu lang ji
赝品	yan pin
赝币	yan bi
赝本	yan ben
赝鼎	yan ding
赤口白舌	chi kou bai she
赤口白舌	chi kou bo she
赤地	chi di
赤地千里	chi di qian li
赤墀	chi chi
赤嵌楼	chi kan lou
赤血丹心	chi xie dan xin
赤血丹心	chi xue dan xin
赤血盐	chi xie yan
赤血盐	chi xue yan
赤身露体	chi shen lou ti
赤露	chi lu
赤鯶公	chi hun gong
赫吒	he zha
赫塞	he se
赫柏定律	he bo ding lv
赪尾	cheng wei
赭衣塞路	zhe yi se lu
走不了	zou bu liao
走了和尚走不了庙	zou le he shang zou bu liao miao
走为上着	zou wei shang zhao
走百病	zou bo bing
走肉行尸	zou rou xing shi
走调	zou diao
走骨行尸	zou gu xing shi
起劲	qi jin
起圈	qi juan
起根立地	qi gen li di
起行	qi xing
起重机	qi zhong ji
起鸡皮疙瘩	qi ji pi ge da
起高调	qi gao diao
趁熟	chen shou
趄趄	ju ju
超感觉	chao gan jue
超诣	chao yi
超重	chao zhong
超长	chao chang
越王尝蓼	yue wang chang liao
越调	yue diao
越长	yue chang
越鸡难伏鹄卵	yue ji nan fu hu luan
越鸟南栖	yue niao nan qi
越凫楚乙	yue fu chu yi
趑趄	zi ju
趑趄不前	zi ju bu qian
趑趄却顾	zi ju que gu
趔趄	lie ju
趔趔趄趄	lie lie ju ju
赶着增福神着棍打	gan zhe zeng fu shen zhao gun da
赵令畤	zhao ling zhi
赵伯驹	zhao bo ju
赵孟頫	zhao meng fu
赵衰	zhao cui
趋之若鹜	qu zhi ruo wu
趋跄	qu qiang
趫踔	qiao zhuo
趯趯	ti ti
趱行	zan xing
足了十人	zu liao shi ren
足恭	ju gong
足癣	zu xian
趵趵	bo bo
趺坐	fu zuo
趺钺	fu yue
趼子	jian zi
趿拉	ta la
跂坐	qi zuo
跂望	qi wang
跂行喙息	qi xing hui xi
跂訾	qi zi
跂跂	qi qi
跂蹻	qi jue
跅弛	tuo shi
跋前疐后	ba qian zhi hou
跋扈自恣	ba hu zi zi
跋胡疐尾	ba hu zhi wei
跌了弹的斑鸠	die le dan de ban jiu
跌宕遒丽	die dang qiu li
跌得重	die de zhong
跌扑	die pu
跌窨	die yin
跌跌撞撞	die die zhuang zhuang
跏趺	jia fu
跑不了	pao bu liao
跑了和尚跑不了庙	pao le he shang pao bu liao miao
跑辙	pao che
跑辙	pao zhe
跑马卖解	pao ma mai xie
跑马走解	pao ma zou xie
跕班	tie ban
跖犬吠尧	zhi quan fei yao
跖狗吠尧	zhi gou fei yao
跖蹻	zhi jiao
跛倚	bi yi
跛子	bo zi
跛立箕坐	bi li ji zuo
跛罗盖子	bo luo gai zi
跛脚	bo jiao
跛足	bo zu
跛蹇	bo jian
跛蹶	bo jue
跛踬	bo zhi
跛鳖千里	bo bie qian li
距塞	ju se
距跃	ju yue
跟谁	gen shui
迹地	ji di
跦跦	zhu zhu
跨地区	kua di qu
跨媒体合作	ka mei ti he zuo
跨行	kua hang
跪地	gui di
路上行人口似碑	lu shang xing ren kou si bei
路角	lu jiao
路隅	lu yu
